,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
580,경기도,경기,고양시,풍산셀프주유소,경기 고양시 일산동구 중산로 55 (중산동),경기 고양시 일산동구 중산로 55 ,SK에너지,Y,N,N,N,Y,1265.0
581,경기도,경기,고양시,KH에너지(주)KH기쁨주유소,경기 고양시 일산동구 고양대로 1064 (식사동),경기 고양시 일산동구 고양대로 1064 ,SK에너지,N,N,N,N,Y,1265.0
582,경기도,경기,고양시,호수공원주유소,경기 고양시 일산동구 백마로 108 (장항동),경기 고양시 일산동구 백마로 108 ,SK에너지,Y,N,N,N,Y,1286.0
583,경기도,경기,고양시,현대오일뱅크㈜직영 장항IC셀프주유소,경기 고양시 일산동구 백마로 56 (장항동),경기 고양시 일산동구 백마로 56 ,현대오일뱅크,Y,N,N,N,Y,1286.0
584,경기도,경기,고양시,SK에너지(주) 백마주유소,경기 고양시 일산동구 중앙로 990 (백석동),경기 고양시 일산동구 중앙로 990 ,SK에너지,Y,N,N,N,Y,1345.0
585,경기도,경기,고양시,오렌지주유소,경기 고양시 일산동구 백마로 49 (장항동),경기 고양시 일산동구 백마로 49 ,GS칼텍스,N,N,N,N,Y,1695.0
586,경기도,경기,고양시,사우디제 7 주유소,경기 고양시 일산동구 백마로 37 (장항동),경기 고양시 일산동구 백마로 37 ,SK에너지,N,N,N,N,Y,1697.0
587,서울특별시,서울,금천구,명보주유소,서울 금천구 시흥대로 377 (독산동),서울 금천구 시흥대로 377 ,알뜰주유소,N,N,N,N,Y,1284.0
588,서울특별시,서울,금천구,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),서울특별시 금천구  시흥대로 174 ,S-OIL,Y,N,N,N,Y,1294.0
589,서울특별시,서울,금천구,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),서울 금천구  시흥대로 81 ,GS칼텍스,Y,N,N,N,Y,1294.0
590,서울특별시,서울,금천구,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,서울 금천구 시흥대로 118,GS칼텍스,Y,N,N,N,Y,1298.0
